Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kentavious Caldwell-Pope,24,SG,74,74,2458,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.103,-0.4,0.6,0.3,1.4,
2,Kyle Kuzma,22,PF,77,37,2401,14.2,0.549,0.418,0.2,3.9,17.4,10.7,9.1,1,1.1,11,22.5,1.5,2.3,3.8,0.077,0.3,-1,-0.7,0.8,"ROY-4,6MOY-9"
3,Julius Randle,23,C,82,49,2190,19.9,0.606,0.05,0.47,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,4,2.6,6.6,0.145,0.6,0,0.6,1.4,
4,Brandon Ingram,20,SF,59,59,1975,13.8,0.536,0.138,0.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,1,1.8,2.8,0.068,-0.9,-0.3,-1.2,0.4,
5,Lonzo Ball,20,PG,52,50,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,0.053,-0.7,1.6,1,1.3,
6,Brook Lopez,29,C,74,72,1735,16.5,0.557,0.41,0.199,4.6,13.4,9,11.6,0.8,4.6,10.2,23.5,1.9,1.9,3.8,0.105,0.7,0.2,0.9,1.3,
7,Josh Hart,22,SG,63,23,1461,12.2,0.596,0.525,0.251,3.1,16,9.6,7.6,1.5,0.9,10.1,13.5,1.9,1.5,3.4,0.111,-0.6,0.5,-0.1,0.7,
8,Jordan Clarkson,25,SG,53,2,1256,16.9,0.532,0.315,0.198,3.8,9.7,6.7,22.9,1.5,0.2,11.6,27.7,1.1,1,2.1,0.08,1.9,-1.1,0.8,0.9,6MOY-7
9,Larry Nance Jr.,25,C,42,17,922,19.4,0.618,0.016,0.344,12.6,20.2,16.4,9.2,3.1,1.8,12.3,15.3,2.1,1.5,3.7,0.191,0.6,1.8,2.4,1,
10,Corey Brewer,31,SF,54,2,694,8.9,0.509,0.25,0.297,3.6,10.7,7.1,8.1,2.8,0.9,16.3,14.2,-0.2,0.9,0.7,0.048,-4.7,1.6,-3.1,-0.2,
11,Tyler Ennis,23,PG,54,11,683,11.1,0.473,0.25,0.129,3,11.8,7.4,21.9,2.1,1.2,13.8,17.1,0.1,0.8,0.8,0.058,-3,0.9,-2.1,0,
12,Alex Caruso,23,PG,37,7,562,8.7,0.519,0.371,0.259,2.9,9.4,6.2,17.8,2,1.4,24.5,12.9,-0.1,0.6,0.5,0.041,-3.8,0.9,-2.9,-0.1,
13,Isaiah Thomas,28,PG,17,1,456,12.8,0.52,0.445,0.278,2.4,6,4.2,28.8,0.6,0.2,17.5,28.7,0,0.2,0.2,0.024,-0.7,-4.2,-4.9,-0.3,
14,Ivica Zubac,20,C,43,0,410,15.3,0.557,0.008,0.418,11.8,20.1,16,8.8,0.9,3,15.3,17.6,0.5,0.5,1,0.118,-1.8,-0.3,-2,0,
15,Travis Wear,27,SF,17,0,228,6.9,0.497,0.653,0.111,0,17.6,8.9,4.2,0.8,1.8,7.4,15.2,0,0.2,0.2,0.042,-3.7,0,-3.7,-0.1,
16,Andrew Bogut,33,C,24,5,216,10.9,0.696,0,0.08,12.9,25.4,19.2,9.1,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0.094,-4.7,1.9,-2.8,-0.1,
17,Channing Frye,34,C,9,0,150,10.2,0.581,0.581,0.093,1.4,16.2,8.9,9.5,0.3,0.5,8.2,13.8,0.2,0.1,0.3,0.091,-1,-0.5,-1.5,0,
18,Gary Payton II,25,PG,11,0,115,11.8,0.447,0.317,0.146,8.4,16.5,12.5,15.1,1.7,1.4,8.4,17.6,0,0.1,0.2,0.063,-2.5,-0.1,-2.6,0,
19,Thomas Bryant,20,C,15,0,72,9.9,0.441,0.476,0.429,4.5,20.5,12.6,11.5,0.7,2.3,7.4,15.9,0,0.1,0.1,0.05,-3.1,-0.2,-3.3,0,
20,Andre Ingram,32,SG,2,0,64,16.3,0.655,0.529,0.176,1.7,8.3,5,15.3,2.2,3.8,14.1,14.1,0.1,0.1,0.2,0.157,1.7,2.5,4.3,0.1,
21,Vander Blue,25,SG,5,0,45,-1.8,0.255,0.4,0.4,0,2.3,1.2,8.2,1.1,0,33.8,8.4,-0.1,0,-0.1,-0.102,-7.6,-0.7,-8.4,-0.1,
22,Luol Deng,32,SF,1,1,13,5.5,0.5,0,0,0,0,0,10.1,3.7,0,33.3,9.8,0,0,0,-0.018,-5.3,2.4,-2.9,0,
23,Nigel Hayes-Davis,23,SF,2,0,11,9.8,0.436,0.667,0.333,0,0,0,24.3,0,0,0,13.3,0,0,0,0.069,-0.2,-1.5,-1.7,0,
24,Derrick Williams,26,PF,2,0,9,-3.2,0.25,0.5,0,0,11.7,5.9,0,0,0,0,18.9,0,0,0,-0.191,-9.8,-7,-16.8,0,
,Team Totals,,,82,82,19906,,0.548,0.329,0.264,,,,,,,,,16.2,21.7,37.9,0.091,-0.5,0.2,-0.3,8.4,