No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Lonzo Ball,PG,06-Jun,190,27-Oct-97,us US,R,UCLA
17,Vander Blue,SG,04-Jun,200,17-Jul-92,us US,2,Marquette
66,Andrew Bogut,C,7-0,260,28-Nov-84,au AU,12,Utah
3,Corey Brewer,SF,09-Jun,186,05-Mar-86,us US,10,Florida
31,Thomas Bryant,C,10-Jun,248,31-Jul-97,us US,R,Indiana
1,Kentavious Caldwell-Pope,SG,05-Jun,204,18-Feb-93,us US,4,Georgia
4,Alex Caruso,PG,05-Jun,186,28-Feb-94,us US,R,Texas A&M
6,Jordan Clarkson,SG,03-Jun,194,07-Jun-92,us US,3,"Tulsa, Missouri"
9,Luol Deng,SF,09-Jun,237,16-Apr-85,ss SS,13,Duke
10,Tyler Ennis,PG,03-Jun,194,24-Aug-94,ca CA,3,Syracuse
12,Channing Frye,C,7-0,255,17-May-83,us US,11,Arizona
5,Josh Hart,SG,04-Jun,215,06-Mar-95,us US,R,Villanova
15,Nigel Hayes-Davis,SF,08-Jun,254,16-Dec-94,us US,R,Wisconsin
20,Andre Ingram,SG,03-Jun,190,19-Nov-85,us US,R,American University
14,Brandon Ingram,SF,08-Jun,190,02-Sep-97,us US,1,Duke
0,Kyle Kuzma,PF,09-Jun,221,24-Jul-95,us US,R,Utah
11,Brook Lopez,C,01-Jul,282,01-Apr-88,us US,9,Stanford
7,Larry Nance Jr.,C,08-Jun,245,01-Jan-93,us US,2,Wyoming
23,Gary Payton II,PG,02-Jun,190,01-Dec-92,us US,1,Oregon State
30,Julius Randle,C,09-Jun,250,29-Nov-94,us US,3,Kentucky
"3, 7",Isaiah Thomas,PG,09-May,185,07-Feb-89,us US,6,Washington
21,Travis Wear,SF,10-Jun,230,21-Sep-90,us US,1,"UNC, UCLA"
6,Derrick Williams,PF,08-Jun,240,25-May-91,us US,6,Arizona
40,Ivica Zubac,C,7-0,240,18-Mar-97,ba BA,1,