Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1,Kentavious Caldwell-Pope,24,74,74,2458,340,798,0.426,159,415,0.383,181,383,0.473,0.526,153,194,0.789,60,327,387,162,106,16,97,145,992,0,
2,Kyle Kuzma,22,77,37,2401,468,1039,0.45,159,434,0.366,309,605,0.511,0.527,147,208,0.707,88,395,483,141,49,34,140,160,1242,0,"ROY-4,6MOY-9"
3,Julius Randle,23,82,49,2190,504,904,0.558,10,45,0.222,494,859,0.575,0.563,305,425,0.718,181,473,654,210,43,45,213,274,1323,1,
4,Brandon Ingram,20,59,59,1975,358,761,0.47,41,105,0.39,317,656,0.483,0.497,192,282,0.681,57,257,314,230,45,43,149,163,949,0,
5,Lonzo Ball,20,52,50,1780,203,564,0.36,90,295,0.305,113,269,0.42,0.44,32,71,0.451,69,291,360,376,88,43,136,117,528,2,
6,Brook Lopez,29,74,72,1735,369,793,0.465,112,325,0.345,257,468,0.549,0.536,111,158,0.703,74,220,294,126,30,98,98,195,961,0,
7,Josh Hart,22,63,23,1461,176,375,0.469,78,197,0.396,98,178,0.551,0.573,66,94,0.702,42,221,263,80,47,16,47,107,496,0,
8,Jordan Clarkson,25,53,2,1256,299,667,0.448,68,210,0.324,231,457,0.505,0.499,105,132,0.795,44,115,159,173,39,3,95,63,771,0,6MOY-7
9,Larry Nance Jr.,25,42,17,922,152,253,0.601,1,4,0.25,151,249,0.606,0.603,55,87,0.632,108,176,284,57,59,20,41,113,360,0,
10,Corey Brewer,31,54,2,694,78,172,0.453,8,43,0.186,70,129,0.543,0.477,34,51,0.667,23,70,93,41,41,8,38,83,198,0,
11,Tyler Ennis,23,54,11,683,94,224,0.42,14,56,0.25,80,168,0.476,0.451,22,29,0.759,19,76,95,105,30,10,38,75,224,0,
12,Alex Caruso,23,37,7,562,50,116,0.431,13,43,0.302,37,73,0.507,0.487,21,30,0.7,15,50,65,75,23,10,42,52,134,0,
13,Isaiah Thomas,28,17,1,456,87,227,0.383,33,101,0.327,54,126,0.429,0.456,58,63,0.921,10,26,36,85,6,1,54,33,265,0,
14,Ivica Zubac,20,43,0,410,61,122,0.5,0,1,0,61,121,0.504,0.5,39,51,0.765,45,78,123,25,8,15,26,47,161,0,
15,Travis Wear,27,17,0,228,25,72,0.347,17,47,0.362,8,25,0.32,0.465,8,8,1,0,38,38,7,4,5,6,30,75,0,
16,Andrew Bogut,33,24,5,216,17,25,0.68,0,0,,17,25,0.68,0.68,2,2,1,26,52,78,15,4,13,19,40,36,0,
17,Channing Frye,34,9,0,150,20,43,0.465,9,25,0.36,11,18,0.611,0.57,3,4,0.75,2,23,25,10,1,1,4,15,52,0,
18,Gary Payton II,25,11,0,115,17,41,0.415,4,13,0.308,13,28,0.464,0.463,1,6,0.167,9,18,27,12,4,2,4,13,39,0,
19,Thomas Bryant,20,15,0,72,8,21,0.381,1,10,0.1,7,11,0.636,0.405,5,9,0.556,3,14,17,6,1,2,2,6,22,0,
20,Andre Ingram,32,2,0,64,8,17,0.471,5,9,0.556,3,8,0.375,0.618,3,3,1,1,5,6,7,3,3,3,3,24,0,
21,Vander Blue,25,5,0,45,1,5,0.2,0,2,0,1,3,0.333,0.2,1,2,0.5,0,1,1,3,1,0,3,2,3,0,
22,Luol Deng,32,1,1,13,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,1,1,0,1,0,2,0,
23,Nigel Hayes-Davis,23,2,0,11,1,3,0.333,0,2,0,1,1,1,0.333,1,1,1,0,0,0,2,0,0,0,0,3,0,
24,Derrick Williams,26,2,0,9,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,,0,1,1,0,0,0,0,0,2,0,
,Team Totals,,82,82,19906,3338,7248,0.461,822,2384,0.345,2516,4864,0.517,0.517,1364,1910,0.714,876,2927,3803,1949,633,388,1256,1736,8862,3,